schemaname,table_name,total_size,table_size,index_size,toast_size
_internal,app_settings,32 kB,8192 bytes,16 kB,8192 bytes
storage,vector_indexes,24 kB,0 bytes,16 kB,8192 bytes
realtime,schema_migrations,24 kB,8192 bytes,16 kB,0 bytes
public,category,24 kB,0 bytes,16 kB,8192 bytes
auth,audit_log_entries,24 kB,0 bytes,16 kB,8192 bytes
auth,schema_migrations,24 kB,8192 bytes,16 kB,0 bytes
storage,s3_multipart_uploads,24 kB,0 bytes,16 kB,8192 bytes
storage,buckets,24 kB,0 bytes,16 kB,8192 bytes
auth,oauth_clients,24 kB,0 bytes,16 kB,8192 bytes
auth,mfa_challenges,24 kB,0 bytes,16 kB,8192 bytes
vault,secrets,24 kB,0 bytes,16 kB,8192 bytes
public,product_schema,24 kB,0 bytes,16 kB,8192 bytes
backup_pre_consolidation,product_display_price,24 kB,16 kB,0 bytes,8192 bytes
public,location,24 kB,0 bytes,16 kB,8192 bytes
storage,prefixes,24 kB,0 bytes,16 kB,8192 bytes
snapshot_2025_10_06,product_display_price,24 kB,16 kB,0 bytes,8192 bytes
auth,mfa_amr_claims,24 kB,0 bytes,16 kB,8192 bytes
storage,buckets_analytics,24 kB,0 bytes,16 kB,8192 bytes
snapshot_2025_10_06,_counts,16 kB,8192 bytes,0 bytes,8192 bytes
snapshot_2025_10_06,event_product_mapping_rules,16 kB,8192 bytes,0 bytes,8192 bytes
public,taxonomy_synonym,16 kB,0 bytes,8192 bytes,8192 bytes
public,_audit_baseline_counts,16 kB,8192 bytes,0 bytes,8192 bytes
supabase_migrations,seed_files,16 kB,0 bytes,8192 bytes,8192 bytes
snapshot_2025_10_06,event_blacklist,16 kB,8192 bytes,0 bytes,8192 bytes
snapshot_2025_10_06,product_price_overrides,16 kB,8192 bytes,0 bytes,8192 bytes
snapshot_2025_10_06,event_product_links_courses,16 kB,8192 bytes,0 bytes,8192 bytes
snapshot_2025_10_06,event_product_overrides,16 kB,8192 bytes,0 bytes,8192 bytes
auth,instances,16 kB,0 bytes,8192 bytes,8192 bytes
snapshot_2025_10_06,event_product_links,16 kB,8192 bytes,0 bytes,8192 bytes
storage,s3_multipart_uploads_parts,16 kB,0 bytes,8192 bytes,8192 bytes
public,event_product_links_overrides,16 kB,0 bytes,8192 bytes,8192 bytes
backup_pre_consolidation,event_product,16 kB,8192 bytes,0 bytes,8192 bytes
backup_pre_consolidation,product,16 kB,8192 bytes,0 bytes,8192 bytes
backup_pre_consolidation,series,16 kB,8192 bytes,0 bytes,8192 bytes
storage,buckets_vectors,16 kB,0 bytes,8192 bytes,8192 bytes
public,mapping_audit_log,16 kB,0 bytes,8192 bytes,8192 bytes
public,series_product,8192 bytes,0 bytes,8192 bytes,0 bytes
public,series_category,8192 bytes,0 bytes,8192 bytes,0 bytes
monitor,log,8192 bytes,0 bytes,0 bytes,8192 bytes
