subtype,event_url,event_title,event_location,date_start,date_end 
course,https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-bds4t,Camera Courses For Beginners - Week 1 of 3 - Coventry - Sep,Coventry,2025-09-08 19:00:00+00,2025-09-08 21:00:00+00
course,https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-w5nkt,Camera Courses For Beginners - Week 1 of 3 - Coventry Sep,Coventry,2025-09-11 19:00:00+00,2025-09-11 21:00:00+00
course,https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-2sj27,Camera Courses For Beginners - Week 2 of 3 - Coventry Sep,Coventry,2025-09-15 19:00:00+00,2025-09-15 21:00:00+00
