event_url,subtype,product_url,price_gbp,availability,date_start,date_end,event_location,map_method,confidence
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-7breh,course,https://www.alanranger.com/photography-services-near-me/lightroom-courses-for-beginners-coventry,,InStock,2026-03-09T19:00:00+00:00,2026-03-09T21:00:00+00:00,Alan Ranger Photography,auto,0.9
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-7breh,course,https://www.alanranger.com/photography-services-near-me/lightroom-courses-for-beginners-coventry,,http://schema.org/InStock,2026-03-09T19:00:00+00:00,2026-03-09T21:00:00+00:00,Alan Ranger Photography,auto,0.9
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-dfe,course,https://www.alanranger.com/photography-services-near-me/lightroom-courses-for-beginners-coventry,,InStock,2025-11-12T19:00:00+00:00,2025-11-12T21:00:00+00:00,Coventry,auto,0.9
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-dfe,course,https://www.alanranger.com/photography-services-near-me/lightroom-courses-for-beginners-coventry,,http://schema.org/InStock,2025-11-12T19:00:00+00:00,2025-11-12T21:00:00+00:00,Coventry,auto,0.9
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-hl4tm,course,https://www.alanranger.com/photography-services-near-me/lightroom-courses-for-beginners-coventry,,InStock,2026-03-16T19:00:00+00:00,2026-03-16T21:00:00+00:00,Coventry,auto,0.9
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-hl4tm,course,https://www.alanranger.com/photography-services-near-me/lightroom-courses-for-beginners-coventry,,http://schema.org/InStock,2026-03-16T19:00:00+00:00,2026-03-16T21:00:00+00:00,Coventry,auto,0.9
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-hnp3g,course,https://www.alanranger.com/photography-services-near-me/lightroom-courses-for-beginners-coventry,,InStock,2025-11-19T19:00:00+00:00,2025-11-19T21:00:00+00:00,Coventry,auto,0.9
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-hnp3g,course,https://www.alanranger.com/photography-services-near-me/lightroom-courses-for-beginners-coventry,,http://schema.org/InStock,2025-11-19T19:00:00+00:00,2025-11-19T21:00:00+00:00,Coventry,auto,0.9
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-mw83l,course,https://www.alanranger.com/photography-services-near-me/lightroom-courses-for-beginners-coventry,,InStock,2025-11-26T19:00:00+00:00,2025-11-26T21:00:00+00:00,Coventry,auto,0.9
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-mw83l,course,https://www.alanranger.com/photography-services-near-me/lightroom-courses-for-beginners-coventry,,http://schema.org/InStock,2025-11-26T19:00:00+00:00,2025-11-26T21:00:00+00:00,Coventry,auto,0.9
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-s2klg,course,https://www.alanranger.com/photography-services-near-me/lightroom-courses-for-beginners-coventry,,InStock,2026-03-23T19:00:00+00:00,2026-03-23T21:00:00+00:00,Coventry,auto,0.9
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-s2klg,course,https://www.alanranger.com/photography-services-near-me/lightroom-courses-for-beginners-coventry,,http://schema.org/InStock,2026-03-23T19:00:00+00:00,2026-03-23T21:00:00+00:00,Coventry,auto,0.9
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-week-1,course,https://www.alanranger.com/photography-services-near-me/lightroom-courses-for-beginners-coventry,,InStock,2026-02-04T19:00:00+00:00,2026-02-04T21:00:00+00:00,Alan Ranger Photography,auto,0.9
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-week-1,course,https://www.alanranger.com/photography-services-near-me/lightroom-courses-for-beginners-coventry,,http://schema.org/InStock,2026-02-04T19:00:00+00:00,2026-02-04T21:00:00+00:00,Alan Ranger Photography,auto,0.9
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-week-3,course,https://www.alanranger.com/photography-services-near-me/lightroom-courses-for-beginners-coventry,,InStock,2026-02-18T19:00:00+00:00,2026-02-18T21:00:00+00:00,Alan Ranger Photography,auto,0.9
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-week-3,course,https://www.alanranger.com/photography-services-near-me/lightroom-courses-for-beginners-coventry,,http://schema.org/InStock,2026-02-18T19:00:00+00:00,2026-02-18T21:00:00+00:00,Alan Ranger Photography,auto,0.9
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-wk2,course,https://www.alanranger.com/photography-services-near-me/lightroom-courses-for-beginners-coventry,,InStock,2026-02-11T19:00:00+00:00,2026-02-11T21:00:00+00:00,Alan Ranger Photography,auto,0.9
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-wk2,course,https://www.alanranger.com/photography-services-near-me/lightroom-courses-for-beginners-coventry,,http://schema.org/InStock,2026-02-11T19:00:00+00:00,2026-02-11T21:00:00+00:00,Alan Ranger Photography,auto,0.9
https://www.alanranger.com/beginners-photography-lessons/rps-courses-rps-distinctions-mentoring-2,course,https://www.alanranger.com/photography-services-near-me/rps-mentoring-photography-course,,InStock,2025-10-15T19:00:00+00:00,2025-10-15T21:00:00+00:00,Online - Virtual Class - Zoom Meeting,auto,0.9
https://www.alanranger.com/beginners-photography-lessons/rps-courses-rps-distinctions-mentoring-2,course,https://www.alanranger.com/photography-services-near-me/rps-mentoring-photography-course,,http://schema.org/InStock,2025-10-15T19:00:00+00:00,2025-10-15T21:00:00+00:00,Online - Virtual Class - Zoom Meeting,auto,0.9
https://www.alanranger.com/photographic-workshops-near-me/dartmoor-photography-workshop-woodlands,workshop,dartmoor-photography-landscape-workshop,,,2026-10-09T13:00:00+00:00,2026-10-11T14:00:00+00:00,Dartmoor,auto,0.9
https://www.alanranger.com/photographic-workshops-near-me/exmoor-photography-workshops-seascapes-lynmouth,workshop,https://www.alanranger.com/photo-workshops-uk/exmoor-photography-workshops-lynmouth,,InStock,2026-05-23T09:00:00+00:00,2026-05-24T14:30:00+00:00,North Devon/Exmoor,auto,0.9
https://www.alanranger.com/photographic-workshops-near-me/exmoor-photography-workshops-seascapes-lynmouth,workshop,https://www.alanranger.com/photo-workshops-uk/exmoor-photography-workshops-lynmouth,,http://schema.org/InStock,2026-05-23T09:00:00+00:00,2026-05-24T14:30:00+00:00,North Devon/Exmoor,auto,0.9
