event_url,subtype,product_url,product_title,price_gbp,availability,date_start,date_end,start_time,end_time,event_location,map_method,confidence,participants,fitness_level,event_title,json_price,json_availability,price_currency
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-,event,,,,,2026-01-13T00:00:00+00:00,2026-01-13T00:00:00+00:00,00:00:00,00:00:00,,,,,,,,,
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-2k99k,event,,,,,,,,,,,,,,,,,
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-2n74k,event,,,,,2025-12-02T00:00:00+00:00,2025-12-02T00:00:00+00:00,00:00:00,00:00:00,,,,,,,,,
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-2sj27,event,,,,,,,,,,,,,,,,,
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-3yj3h,event,,,,,2025-11-17T00:00:00+00:00,2025-11-17T00:00:00+00:00,00:00:00,00:00:00,,,,,,,,,
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-4pp2p,event,,,,,2025-10-12T23:00:00+00:00,2025-10-12T23:00:00+00:00,23:00:00,23:00:00,,,,,,,,,
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-7breh,event,,,,,2026-03-09T00:00:00+00:00,2026-03-09T00:00:00+00:00,00:00:00,00:00:00,Alan Ranger Photography,,,,,,,,
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-8ar5x,event,,,,,2025-11-03T00:00:00+00:00,2025-11-03T00:00:00+00:00,00:00:00,00:00:00,,,,,,,,,
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-8s2ka,event,,,,,2025-10-19T23:00:00+00:00,2025-10-19T23:00:00+00:00,23:00:00,23:00:00,,,,,,,,,
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-bds4t,event,,,,,,,,,,,,,,,,,
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-be4sb,event,,,,,2026-01-20T00:00:00+00:00,2026-01-20T00:00:00+00:00,00:00:00,00:00:00,,,,,,,,,
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-dfe,event,,,,,2025-11-12T00:00:00+00:00,2025-11-12T00:00:00+00:00,00:00:00,00:00:00,Coventry,,,,,,,,
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-dg9pz,event,,,,,2025-12-09T00:00:00+00:00,2025-12-09T00:00:00+00:00,00:00:00,00:00:00,,,,,,,,,
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-dhecf,event,,,,,,,,,,,,,,,,,
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-hl4tm,event,,,,,2026-03-16T00:00:00+00:00,2026-03-16T00:00:00+00:00,00:00:00,00:00:00,Coventry,,,,,,,,
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-hnp3g,event,,,,,2025-11-19T00:00:00+00:00,2025-11-19T00:00:00+00:00,00:00:00,00:00:00,Coventry,,,,,,,,
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-mw83l,event,,,,,2025-11-26T00:00:00+00:00,2025-11-26T00:00:00+00:00,00:00:00,00:00:00,Coventry,,,,,,,,
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-nhjlm,event,,,,,2025-12-16T00:00:00+00:00,2025-12-16T00:00:00+00:00,00:00:00,00:00:00,,,,,,,,,
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-nzwzx,event,,,,,,,,,,,,,,,,,
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-oct1,event,,,,,2025-10-01T23:00:00+00:00,2025-10-01T23:00:00+00:00,23:00:00,23:00:00,,,,,,,,,
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-oct2,event,,,,,2025-10-08T23:00:00+00:00,2025-10-08T23:00:00+00:00,23:00:00,23:00:00,,,,,,,,,
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-oct3,event,,,,,2025-10-15T23:00:00+00:00,2025-10-15T23:00:00+00:00,23:00:00,23:00:00,,,,,,,,,
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-s2klg,event,,,,,2026-03-23T00:00:00+00:00,2026-03-23T00:00:00+00:00,00:00:00,00:00:00,Coventry,,,,,,,,
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-w5nkt,event,,,,,,,,,,,,,,,,,
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-wc34j,event,,,,,2025-11-10T00:00:00+00:00,2025-11-10T00:00:00+00:00,00:00:00,00:00:00,,,,,,,,,
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-wk1,event,,,,,2026-01-06T00:00:00+00:00,2026-01-06T00:00:00+00:00,00:00:00,00:00:00,,,,,,,,,
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe,event,,,,,2025-10-05T23:00:00+00:00,2025-10-05T23:00:00+00:00,23:00:00,23:00:00,,,,,,,,,
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-week-1,event,,,,,2026-02-04T00:00:00+00:00,2026-02-04T00:00:00+00:00,00:00:00,00:00:00,Alan Ranger Photography,,,,,,,,
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-week-3,event,,,,,2026-02-18T00:00:00+00:00,2026-02-18T00:00:00+00:00,00:00:00,00:00:00,Alan Ranger Photography,,,,,,,,
https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-wk2,event,,,,,2026-02-11T00:00:00+00:00,2026-02-11T00:00:00+00:00,00:00:00,00:00:00,Alan Ranger Photography,,,,,,,,
https://www.alanranger.com/beginners-photography-lessons/lightroom-photo-editing-classes-wk1,event,beginners-photography-course,,,,2025-11-04T00:00:00+00:00,2025-11-04T00:00:00+00:00,00:00:00,00:00:00,,auto,0.9,,,,,,
https://www.alanranger.com/beginners-photography-lessons/lightroom-photo-editing-classes-wk1,event,beginners-photography-course,,,,2025-11-04T00:00:00+00:00,2025-11-04T00:00:00+00:00,00:00:00,00:00:00,,auto,0.9,,,,,,
https://www.alanranger.com/beginners-photography-lessons/lightroom-photo-editing-classes-wk1,event,beginners-photography-course,,,,2025-11-04T00:00:00+00:00,2025-11-04T00:00:00+00:00,00:00:00,00:00:00,,auto,0.9,,,,,,
https://www.alanranger.com/beginners-photography-lessons/lightroom-photo-editing-classes-wk1-kdh5k,event,beginners-photography-course,,,,2026-01-07T00:00:00+00:00,2026-01-07T00:00:00+00:00,00:00:00,00:00:00,,auto,0.9,,,,,,
https://www.alanranger.com/beginners-photography-lessons/lightroom-photo-editing-classes-wk1-kdh5k,event,beginners-photography-course,,,,2026-01-07T00:00:00+00:00,2026-01-07T00:00:00+00:00,00:00:00,00:00:00,,auto,0.9,,,,,,
https://www.alanranger.com/beginners-photography-lessons/lightroom-photo-editing-classes-wk1-kdh5k,event,beginners-photography-course,,,,2026-01-07T00:00:00+00:00,2026-01-07T00:00:00+00:00,00:00:00,00:00:00,,auto,0.9,,,,,,
https://www.alanranger.com/beginners-photography-lessons/lightroom-photo-editing-classes-wk1-rrkhn,event,beginners-photography-course,,,,,,,,,auto,0.9,,,,,,
https://www.alanranger.com/beginners-photography-lessons/lightroom-photo-editing-classes-wk1-rrkhn,event,beginners-photography-course,,,,,,,,,auto,0.9,,,,,,
https://www.alanranger.com/beginners-photography-lessons/lightroom-photo-editing-classes-wk1-rrkhn,event,beginners-photography-course,,,,,,,,,auto,0.9,,,,,,
https://www.alanranger.com/beginners-photography-lessons/lightroom-photo-editing-classes-wk1-xx94r,event,https://www.alanranger.com/photography-services-near-me/lightroom-courses-for-beginners-coventry,Lightroom Courses for Beginners Photo Editing - Coventry,19.99,InStock,,,,,,auto,0.9,,,,,,
https://www.alanranger.com/beginners-photography-lessons/lightroom-photo-editing-classes-wk1-xx94r,event,https://www.alanranger.com/photography-services-near-me/lightroom-courses-for-beginners-coventry,Lightroom Courses for Beginners Photo Editing - Coventry,19.99,InStock,,,,,,auto,0.9,,,,,,
https://www.alanranger.com/beginners-photography-lessons/lightroom-photo-editing-classes-wk1-xx94r,event,https://www.alanranger.com/photography-services-near-me/lightroom-courses-for-beginners-coventry,Lightroom Courses for Beginners Photo Editing - Coventry,19.99,InStock,,,,,,auto,0.9,,,,,,
https://www.alanranger.com/beginners-photography-lessons/lightroom-photo-editing-classes-wk2,event,beginners-photography-course,,,,2025-11-11T00:00:00+00:00,2025-11-11T00:00:00+00:00,00:00:00,00:00:00,,auto,0.9,,,,,,
https://www.alanranger.com/beginners-photography-lessons/lightroom-photo-editing-classes-wk2,event,beginners-photography-course,,,,2025-11-11T00:00:00+00:00,2025-11-11T00:00:00+00:00,00:00:00,00:00:00,,auto,0.9,,,,,,
